order_id,customer_email,order_timestamp,gross_amount,discount_amount,net_amount,channel,status
ORD00000000,riley.torres900000@duck.com,2024-07-29T01:17:52,32.7,0.0,32.7,direct,completed
ORD00000001,maya.thompson103@hey.com,2026-04-24T13:30:20,311.28,0.0,311.28,direct,completed
ORD00000002,leo.wilson191@protonmail.com,2025-05-30T20:41:07,198.88,0.0,198.88,organic_search,completed
ORD00000003,maya.anderson1617@hey.com,2024-05-18T20:26:35,188.51,37.7,150.81,social,delivered
ORD00000004,cameron.garcia1556@duck.com,2024-09-12T18:01:26,243.25,0.0,243.25,organic_search,completed
ORD00000005,avery.wilson1587@icloud.com,2024-02-07T14:30:36,304.07,0.0,304.07,organic_search,delivered
ORD00000006,sana.khan1408@outlook.com,2024-06-01T15:25:14,162.06,32.41,129.65,referral,delivered
ORD00000007,JORDAN.KIM306@ICLOUD.COM,2025-04-30T23:40:14,141.98,0.0,141.98,direct,completed
ORD00000008,casey.robinson174@outlook.com,2024-08-17T19:44:15,216.12,43.22,172.9,direct,shipped
ORD00000009,leo.wilson1572@outlook.com,2024-09-29T23:30:05,291.16,0.0,291.16,direct,completed
ORD00000010,sam.harris960@icloud.com,2025-11-06T06:24:53,171.55,0.0,171.55,direct,completed
ORD00000011,avery.lopez773@protonmail.com,2025-06-14T11:38:17,44.71,8.94,35.77,email,shipped
ORD00000012,priya.perez251@yahoo.com,2024-08-19T21:18:10,282.23,56.45,225.78,paid_search,completed
ORD00000013,reese.rodriguez749@hey.com,2024-09-21T10:50:43,278.02,27.8,250.22,referral,completed
ORD00000014,morgan.young108@gmail.com,2025-01-08T10:23:00,152.41,30.48,121.93,direct,completed
ORD00000015,Priya.Hill34@icloud.com,2026-03-27T20:03:28,76.9,0.0,76.9,organic_search,completed
ORD00000016,Noor.Moore900016@outlook.com,2026-04-02T05:20:51,262.4,0.0,262.4,referral,completed
ORD00000017,sage.perez970@fastmail.com,2025-01-21T19:57:52,187.75,18.78,168.97,referral,delivered
ORD00000018,skyler.gonzalez818@yahoo.com,2024-08-28T13:38:02,240.45,0.0,240.45,referral,completed
ORD00000019,rowan.clark1068@gmail.com,2025-04-22T16:18:14,151.56,0.0,151.56,organic_search,shipped
