event_id,anonymous_id,customer_email,event_type,event_timestamp,session_id,page_url
EVT000000000,75cd568f-0651-4e74-8c7c-350c646979ad,maya.allen1684@protonmail.com,checkout_complete,2025-11-19T09:57:48,023bbc1c6ffd,/search/deals
EVT000000001,19e24ad3-8485-4cbd-8025-acc702c5403c,,add_to_cart,2024-01-15T04:16:36,fd3361706364,/outerwear/support
EVT000000002,cec98ac1-6e42-4d5c-836e-c5dddf0667be,,add_to_cart,2024-04-29T18:22:00,1ffacb7eb1b5,/accessories/deals
EVT000000003,ce47fb00-b961-43dc-97fa-648644490967,,checkout_complete,2024-03-10T12:08:24,77024ac831dc,/guide/account
EVT000000004,aaab4428-6283-492d-b8f1-5ab2d2d3ff45,,page_view,2024-07-04T06:42:40,fadaba26ed8d,/sale/deals
EVT000000005,e9eeb819-76b2-4b96-81ee-a082576e053d,Quinn.Sanchez1665@icloud.com,checkout_complete,2025-03-29T17:52:48,6170804e2c89,/checkout/women
EVT000000006,7bc28c6b-08c0-4628-8e2f-1b58c6d314f9,Taylor.Allen1161@icloud.com,checkout_complete,2026-03-08T12:00:45,0c1289b089eb,/outerwear/cart
EVT000000007,9490ad07-a301-4de9-ad0e-ec985d92a489,Nora.Clark250@hey.com,add_to_cart,2024-11-30T17:14:39,0649e887bdd1,/deals/women
EVT000000008,4eb0893a-5567-489c-a193-885d19e7fc33,,add_to_cart,2025-09-24T20:22:50,1a6b39b65b21,/support/checkout
EVT000000009,76b794d5-a577-4608-aae6-8674499dbe57,,add_to_cart,2024-12-17T03:19:27,5f8107015f6d,/women/support
EVT000000010,3f2ca888-183c-496a-9cdc-526f49ace61f,,page_view,2024-07-04T13:02:30,4ba2fb3ba8ce,/category/men
EVT000000011,21a51d20-b5bd-422c-bc68-145dbeaf825a,ivan.rossi1694@outlook.com,page_view,2026-03-02T20:12:27,56c772b3539e,/search/blog
EVT000000012,0ff5dbc3-b384-4c39-9e77-637260cef622,,checkout_complete,2025-11-28T16:21:19,92d4d12abde4,/women/women
